system:index,B11_median_week,B12_median_week,BGRratio_median_week,DEM_first,Distance_to_River_first,MNDWI_median_week,NDCI_median_week,NDVI_median_week,NDWI_median_week,Red_SWIR1_median_week,Red_SWIR2_median_week,grid_id,lat_first,lon_first,period_end,period_start,potential_evaporation_mm_sum,precipitation_mm_sum,runoff_mm_max,runoff_mm_sum,s2_available,s2_obs_count,soil_moisture_layer1_vol_mean,solar_radiation_mj_m2_sum,surface_pressure_hpa_min,temperature_2m_c_mean,x,y,.geo
987,0.0568000003695488,0.05770000070333481,2.3235765448650247,1,500.0,0.4242248955171544,-0.018867781649477798,-0.31181295925850694,0.40993269261075155,1.9823594299389293,1.914933397604457,g_121_228,10.288862644756616,105.93605664011992,2023-04-01,2023-03-01,257.37855583429337,1.9825451962915963,0.49535930156707764,11.015981435775757,1,11,0.13374662912020124,714.6686331289062,1008.4536393229167,27.295864072409984,120.5,227.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.93605664011992,10.288862644756616]}"
1001,0.025499999523162842,0.021250000223517418,1.7455260145377782,0,500.0,0.625598955983492,0.11917335136262522,-0.27553053999124993,0.2161095099817264,5.0383823206852085,6.076635209741699,g_135_228,10.286385002472178,106.5751815456131,2023-04-01,2023-03-01,271.2118998169899,1.7162465445963448,0.4078298807144165,9.718045592308044,1,6,0.13088330914897303,741.1031031289062,1008.51572265625,26.461905949090067,134.5,227.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.5751815456131,10.286385002472178]}"
1002,0.024500001221895218,0.022199999541044235,1.618688786507216,0,0.0,0.6370773454232088,0.14852754218757946,-0.3217842081364565,0.23231866262905182,4.931446389106087,5.455030515150959,g_136_228,10.286159811725588,106.62082651522731,2023-04-01,2023-03-01,271.2118998169899,1.7162465445963448,0.4078298807144165,9.718045592308044,1,4,0.13088330914897303,741.1031031289062,1008.51572265625,26.461905949090067,135.5,227.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.62082651522731,10.286159811725588]}"
1003,0.015399999916553497,0.017400000244379044,1.5366385924660935,0,0.0,0.7115346903101831,0.2280429926544162,-0.4567464441422573,0.39095953125029764,6.812061963662728,6.031895153071757,g_137_228,10.285928195555815,106.66647041660654,2023-04-01,2023-03-01,275.8747786283493,1.293187677141816,0.3746300935745239,8.909836411476135,1,2,0.12720214679676997,745.4823511289062,1008.4690559895832,26.346437934137157,136.5,227.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.66647041660654,10.285928195555815]}"
1012,0.021199999377131462,0.015699999406933784,2.1045507992004886,2,0.0,0.23465283881460666,-0.02548691461955554,-0.22872910107719352,0.252742627510424,1.5230226348848666,1.9130977311831736,g_91_229,10.335145504287391,104.56614002262947,2023-04-01,2023-03-01,279.5485854148865,21.263768612620026,0.24816393852233887,5.4912567138671875,1,3,0.24959482172484038,712.3720711289062,1007.04697265625,28.110626967235362,90.5,228.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.56614002262947,10.335145504287391]}"
1038,0.037700001150369644,0.03200000151991844,2.379924000370885,1,500.0,0.504921173452583,-0.048128038644807115,-0.2840008222445506,0.40375349714902437,2.3765946280265435,2.799912402899629,g_117_229,10.334557059779485,105.75353119550843,2023-04-01,2023-03-01,282.58397430181503,1.728748618837983,0.4408508539199829,9.807050228118896,1,5,0.13842053567209553,714.7940491289063,1008.20322265625,27.41849617086433,116.5,228.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.75353119550843,10.334557059779485]}"
1050,0.06960000097751617,0.07109999656677246,1.8866121700152638,0,0.0,0.4079097864080887,0.08163939464807429,-0.32482873877457635,0.3575991455739801,2.3993907179928784,2.348771405584529,g_129_229,10.332811455154097,106.30147660461508,2023-04-01,2023-03-01,612.0680868625641,3.4146957986322946,0.38444995880126953,9.136378765106201,1,3,0.16258584299395162,723.4555891289062,1008.09947265625,26.72217823151618,128.5,228.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.30147660461508,10.332811455154097]}"
1051,0.053050000220537186,0.04529999941587448,1.7026408045803572,0,500.0,0.4717577469872384,0.12399086164132542,-0.3521535244387517,0.31776520854214785,3.7230872199514944,4.677974308968873,g_130_229,10.332623993605036,106.34713385974857,2023-04-01,2023-03-01,612.0680868625641,3.4146957986322946,0.38444995880126953,9.136378765106201,1,2,0.16258584299395162,723.4555891289062,1008.09947265625,26.72217823151618,129.5,228.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.34713385974857,10.332623993605036]}"
1189,0.03849999979138374,0.028699999675154686,2.155556269482624,1,500.0,0.535290962560557,0.01969355438255042,-0.40044775990184733,0.4722190847078697,2.5493023924426033,3.508588496510864,g_113_232,10.470590602892115,105.57111083994756,2023-04-01,2023-03-01,273.379385471344,1.5543305270639962,0.36488473415374756,8.015722036361694,1,5,0.21447540611349125,717.1379731289062,1007.9661393229167,27.68282171269891,112.5,231.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.57111083994756,10.470590602892115]}"
1350,0.02850000001490116,0.022299999371170998,2.5036984612221946,1,0.0,0.5608585486960724,-0.044883035291583544,-0.2314796985665785,0.3619451266184642,2.43487836504377,2.969331204851228,g_109_236,10.651746896053803,105.38858614524949,2023-04-01,2023-03-01,270.24324983358383,1.8584185235468453,0.39327144622802734,8.75227153301239,1,5,0.19344727711011003,721.3761211289062,1008.1953059895833,28.09642743346518,108.5,235.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.38858614524949,10.651746896053803]}"
1386,0.0851999968290329,0.06279999762773514,2.213460414387136,3,707.1067811865476,0.007575673008294751,0.03267940803953357,-0.014939688352774044,0.041322105665477664,0.7347486749249642,1.1157235533228531,g_110_237,10.696906550457609,105.43436549434783,2023-04-01,2023-03-01,270.24324983358383,1.8584185235468453,0.39327144622802734,8.75227153301239,1,5,0.19344727711011003,721.3761211289062,1008.1953059895833,28.09642743346518,109.5,236.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.43436549434783,10.696906550457609]}"
1446,0.03085000067949295,0.027699999511241913,2.4010834511367527,1,0.0,0.515077127891528,-0.021223719848187224,-0.35831231629284077,0.47908181362093166,2.252601830533287,2.3534752754338077,g_108_239,10.787460365434493,105.34302345943671,2023-04-01,2023-03-01,266.9907733798027,1.9066982858149117,0.5009472370147705,11.404052376747131,1,10,0.13955868956863238,722.9188731289063,1007.5653059895833,28.21304527200681,107.5,238.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.34302345943671,10.787460365434493]}"
1475,0.019500000402331352,0.018400000408291817,2.6195243629801905,9,0.0,0.6257137701986394,-0.07999939877340322,-0.5719672554915325,0.6759615138253474,2.7793446460563653,2.9454921504789238,g_105_240,10.832802274665003,105.20584571375973,2023-04-01,2023-03-01,274.79249984025955,1.6602181785074777,0.443875789642334,9.925678372383118,1,5,0.13889476817141294,722.9090991289063,1008.2861393229167,28.32297155728918,104.5,239.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.20584571375973,10.832802274665003]}"
